osm_type,osm_id,nvrid,name,wikidata,lat,lon,tags
way,175321998,,Biotopskydd 2009:3243,,60.5113953,15.4832172,"{'_CATEGORY_': '0', '_COUNTY_': '20', '_DID_': '3359343', '_FROM_DATE_': '2010/12/09', '_ID_': '2025013', '_LANDAREA_': '4.265100000000000', '_MUNICIPALI_': '2081', '_OBJECTID_': '8465', '_PRODUCTIVE_': '4.265100000000000', '_PROTECTION_': '5', '_TOTALAREA_': '4.265100000000000', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 2009:3243', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 2009:3243'}"
way,175325044,,Biotopskydd 2010:7166,,61.0349707,15.7142195,"{'_CATEGORY_': 'Ia', '_COUNTY_': '         20', '_DID_': '    3364759', '_FROM_DATE_': '2010/11/29', '_ID_': '    2024729', '_LANDAREA_': '             17.705700000000000', '_MUNICIPALI_': '       2080', '_OBJECTID_': '       9388', '_PRODUCTIVE_': '             16.986499999999999', '_PROTECTION_': '          5', '_TOTALAREA_': '             17.705700000000000', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '              0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 2010:7166', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 2010:7166'}"
way,175328591,,Biotopskydd 1999:83,,60.3658975,15.8870742,"{'_CATEGORY_': '0', '_COUNTY_': '20', '_DID_': '3354197', '_FROM_DATE_': '1999/03/08', '_ID_': '2010450', '_LANDAREA_': '9.049799999999999', '_MUNICIPALI_': '2082', '_OBJECTID_': '1348', '_PRODUCTIVE_': '9.049400000000000', '_PROTECTION_': '5', '_TOTALAREA_': '9.049799999999999', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 1999:83', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 1999:83'}"
way,175328592,,Biotopskydd 2003:422,,60.28263,15.5575769,"{'_CATEGORY_': '0', '_COUNTY_': '         20', '_DID_': '    3368536', '_FROM_DATE_': '2004/01/26', '_ID_': '    2010431', '_LANDAREA_': '              3.116100000000000', '_MUNICIPALI_': '       2082', '_OBJECTID_': '       9634', '_PRODUCTIVE_': '              3.116100000000000', '_PROTECTION_': '          5', '_TOTALAREA_': '              3.116100000000000', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '              0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 2003:422', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 2003:422'}"
way,175328593,,Biotopskydd 2003:523,,60.2970034,15.762571,"{'_CATEGORY_': '0', '_COUNTY_': '20', '_DID_': '3356893', '_FROM_DATE_': '2003/11/24', '_ID_': '2010432', '_LANDAREA_': '2.189000000000000', '_MUNICIPALI_': '2082', '_OBJECTID_': '5016', '_PRODUCTIVE_': '2.154200000000000', '_PROTECTION_': '5', '_TOTALAREA_': '2.189000000000000', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 2003:523', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 2003:523'}"
way,175328594,,Biotopskydd 2003:524,,60.315968,15.750459,"{'_CATEGORY_': '0', '_COUNTY_': '20', '_DID_': '3358087', '_FROM_DATE_': '2004/02/25', '_ID_': '2010434', '_LANDAREA_': '4.157400000000000', '_MUNICIPALI_': '2082', '_OBJECTID_': '5138', '_PRODUCTIVE_': '4.034600000000000', '_PROTECTION_': '5', '_TOTALAREA_': '4.157400000000000', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 2003:524', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 2003:524'}"
way,175328595,,Biotopskydd 2011:2828,,60.4498759,15.6038777,"{'_CATEGORY_': '0', '_COUNTY_': '20', '_DID_': '3359522', '_FROM_DATE_': '2011/12/05', '_ID_': '2029306', '_LANDAREA_': '4.307300000000000', '_MUNICIPALI_': '2082', '_OBJECTID_': '13830', '_PRODUCTIVE_': '1.371500000000000', '_PROTECTION_': '5', '_TOTALAREA_': '4.307300000000000', '_TRUSTEE_': 'Skogsstyrelsen', '_UPDATE_': '0000/00/00', '_WATERAREA_': '0.000000000000000', 'boundary': 'protected_area', 'name': 'Biotopskydd 2011:2828', 'protect_id': '99', 'protection_aim': 'Levande skogar', 'protection_title': 'Biotopskydd 2011:2828'}"
way,175328599,,Uppbo,,60.4025456,15.8771298,"{'_CATEGORY_': '0', '_COUNTY_': '20', '_DID_': '3356770', '_FROM_DATE_': '1971/04/12', '_ID_': '2004214', '_LANDAREA_': '22.920400000000001', '_MUNICIPALI_': '2082', '_OBJECTID_': '10281', '_PRODUCTIVE_': '0.000000000000000', '_PROTECTION_': '9', '_TOTALAREA_': '23.020700000000001', '_TRUSTEE_': 'Länsstyrelsen i Dalarnas län', '_UPDATE_': '0000/00/00', '_WATERAREA_': '0.100300000000000', 'boundary': 'protected_area', 'name': 'Uppbo', 'protect_id': '12', 'protection_title': 'Vattenskyddsområde'}"
way,175328608,,Ugglebo Säter,,60.3695154,15.725015,"{'_CATEGORY_': '0', '_DID_': '3359376', '_FROM_DATE_': '1978/02/09', '_ID_': '2004216', '_LANDAREA_': '122.170599999999993', '_OBJECTID_': '1140', '_PRODUCTIVE_': '0.000000000000000', '_PROTECTION_': '9', '_TOTALAREA_': '126.689800000000005', '_UPDATE_': '0000/00/00', '_WATERAREA_': '4.519200000000000', 'boundary': 'protected_area', 'name': 'Ugglebo Säter', 'operator': 'Länsstyrelsen i Dalarnas län', 'protect_class': '12'}"
way,175755012,,Olofseredsgubben,,57.8156602,12.5123354,"{'boundary': 'protected_area', 'name': 'Olofseredsgubben', 'protect_class': '1', 'protection_title': 'Fågelskyddsområde'}"
way,175756453,,Lilla Skallö,,57.8301243,12.5350466,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Lilla Skallö'}"
way,176613733,,,,56.8221851,16.4614888,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 11-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 10', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,179100490,,,,57.7315023,12.9798755,{'boundary': 'protected_area'}
way,190071950,,,,58.5513154,15.0321473,{'boundary': 'protected_area'}
way,190077663,,,,58.552843,15.0307433,"{'boundary': 'protected_area', 'source': 'bing'}"
way,190301395,,,,58.5477514,15.0610275,{'boundary': 'protected_area'}
way,190324380,,,,58.4507145,15.0445488,{'boundary': 'protected_area'}
way,190408199,,,,58.3787164,14.9882914,"{'boundary': 'protected_area', 'source': 'bing'}"
way,193115512,,,,58.5306421,15.0860653,{'boundary': 'protected_area'}
way,193171673,,,,58.5324397,15.0929344,"{'boundary': 'protected_area', 'source': 'bing'}"
way,193195003,,,,58.5387456,15.0830042,{'boundary': 'protected_area'}
way,193269606,,,,58.5407698,15.0708808,{'boundary': 'protected_area'}
way,193657603,,,,58.5442642,15.0631255,{'boundary': 'protected_area'}
way,195371909,,,,58.5476905,15.0627013,{'boundary': 'protected_area'}
way,195380894,,,,58.5481202,15.0657176,{'boundary': 'protected_area'}
way,196116079,,,,58.5405753,15.0133242,{'boundary': 'protected_area'}
way,196706634,,,,58.5515156,15.0358668,{'boundary': 'protected_area'}
way,197101146,,,,58.5506256,15.0705172,{'boundary': 'protected_area'}
way,197150515,,,,58.5510654,15.0670169,{'boundary': 'protected_area'}
way,197156749,,,,58.5533032,15.0663547,{'boundary': 'protected_area'}
